text,label
يواتيهم اسم حركة السوبيسان ههه# تف,neg
Salem El borej el sside barcha ma3edhomech z3are.,neg
امينة ايا قللن يا توانسة راكم تحلمون مثماش براكاجات في تونس,neg
لفلوس فقدتهم انسانيتهم,neg
Sauvetage des animaux de Tunisie !!,pos
محسوب باش يقراو هما مو باش تمصو دم الشعب في الأدوات وبعد الصغار تشد الدار انا ورقة ما خذيتهاش ربي معاكم,neg
Les racistes je ne sais pas quelle définition ont il de l islam ces habitants de la péninsule arabe,neg
ملى تهمة هههههههههه بلاد الظلم كان دامت راي دامت لبن علي,neg
الله يستر واكهو,pos
وين المشكل🤔🤔🤔,pos
يا عم علي ت اشبيه عليك هاك السخطة لي اسمو عبد اللطيف القروي تقريبا..اش يحب عندك ..قالك نحارب في الفساد ولا شنو,neg
تمو قلنا من هك العام بيعو لبصل ولاّت باب بلاء على طونس ، والناس الكل تعرق.,neg
بلاد بلاش مالي تونس كيما البقعة المهجورة مليانة بالكلاب و الوسخ 😢👌,neg
سبب البؤس والبلاء إللى صاير في تونس هو الإعلام التافه متاعها,neg
5ater madhabikom cha3eb ymout w mlawa7 fi chwara3 entom yamradh wa7ed fikom.yabda kol chay likom 3inaya elkol.likom mais a7na tmradh om ou baba  w nabdou la 7awla w la 9ouwa taw hadha 3adel,neg
و تف ....,neg
كرهنااااااكم,neg
لي يخلص  يخلص روحو,pos
Samahni hâta houma fihom jme3a mayahtermouch mowaten w ken kacha w syeh lazem ihtiram michirtin,neg
Shbeha shadet ma saybet hedhy,neg
رجع البوليس يصول و يجول و رجعو أيماتو كيف عهد بن علي و أكثر.. دولة البوليس.,neg
كان المواضيع الفارغة,neg
ربي يفرج عليك 😂,pos
ET DIRE L ESCLAVAGE FINI DEPUIS DES SIECLE ET VOILA QU ON REVIENS PAR QUI PAR DES DITES ISLAMIQUE LA HONTE,neg
Lotef ya rabi,pos
كان حبيت مالا تخرج بيدها على راسها وألا كيما إقولوا لمصاروا تخرج مالمولد بلا حمص عبات أطلقت,neg
ليس بسيف وليس بمخلوف إنه مرشش وصدق من قالها.وكفى.,neg
تفوووووه,neg
محلى الكنام و محلى خدامتها و محلى كل شي فيها ❤️,pos
ربي يباركلو ويعطيه الصحة,pos
C'est l'occasion ou jamais d'épouser non seulement une belle femme mais aussi la femme la plus riche sur terre 😜😜😜 Que le meilleur gagne,pos
برافو الستاغ,pos
واحد كما هذا يتبعوه جهالا كما هو ضال يكفر  ويزيد يكسب مشاهدات,neg
اذا مر  يوم  ولم اتذكرفتذكري اني قلت لك صباح السكر,pos
وينهم جماعة الملح..حطهولهم في عينيهم,neg
3titha code 7yeti khali code banka,pos
معز بو ترمة ععععع,neg
يدخل ويدخل علاش هاو كل شيء معروف لا كذب ولا تبلى عليهم خليهم يتفضحوا,neg
هل لخرى هاذ ما ترتاح إلا متضربها كرونا باش نرتاح من اخلقتها,neg
Nn mna3tich,neg
البلاد خلات بي كورونة و انتي احكي على فلسطين,neg
عبودية من نوع اخر,neg
ربي معاها ٠٠٠,pos
ياخي مريضة هاذي؟ 🤔,neg
برجولية متفهكم قناة.. عملتو معاها انترفيو وفاهمين القصة انتم اللي هي على خاطر الكليب عملت هكاكة وتو درتو عليها؟!! قداشكم تافهين ومرضة.. بففففففف  موزاييك :=:0,neg
بالك تقصد التطبيع كي دبي,neg
كرسوا التمييز العنصري,neg
ما فما كان الخير تهناو هذيكا تونيسار تبخر عالعين,pos
هههه برا للجبانة اكييييد سحرتوا بنت الحرام,neg
تو يخرو فيه  عملاء,neg
تفوووو عليك يافسده,neg
Hhhhhhhhhh A.C.A.B,neg
#FREE_FEKHER,pos
ya 7aj yehdik chaaabek aaala abweb lhewya ! w dawla berka w corona aaamla be3meylha w enti tkhamem aala filastine ! 9adhyet la7rar lkoll filastine w mch bl klem ! lezmha af3al ! ema telha se3a choufelna 7ooloul leli sayer fl bled,neg
تو يخلي دمو و لحمو و يلوج على البراني...,neg
الله لا تربحك يرزينا فيك ان شاء الله,neg
seiss rou7k,pos
Chey kbir assbah,pos
Je l'adore 🥰🥰🥰,pos
bonjour zaynouba ❤❤❤,pos
courouna t9atel fi enes w intouma ta7kiew 3al les recettes mta3 lmekla,neg
Malla ke3ba....degla ASL bou zink w ya3tk douda,pos
"Kont menhebbch lahmr ,wellit nhebbou 3la 5atrk esbah ",pos
Bravo 😄😄😄,pos
Ma7leha 😍😍😍,pos
محلا زينك,pos
شبيكم من غير كمامة!!!!!!,neg
اكمل عليك...  مسرارة ومزيانة مشالله عليها,pos
مشاءالله محللها,pos
تقتللللل,pos
محلاها عاللخر ❤,pos
Zeinouba adorable 😘,pos
موش قبيلة شوي كانت لابسة بفات؟,neg
TRÈS NATURELLE,pos
Rabi yfadhlek zinouba wnchallah dima tadh7ek nmout 3lik 😍😘😘,pos
Un visage très souriant,pos
Tbarkallah 3alik zaynouba 😍😍😍,pos
Mahlek zainouba❤❤❤❤,pos
Ma7la zinek zinouba melli sghayra haka machallah 3la bent houmti 😍😘,pos
من اول ما تراها تدخلك الفرحة لقلبك بضحكتها محلاها ومسرها,pos
Ma belle ❤️❤️❤️❤️,pos
Zinoubelle sahitek bravo 😘,pos
خليه ينيك قعد كان هو؟؟ملا شعب يا بو قلب السرقة و التلوعيب و التنوفيق في دمهم يجري تقول راضعينو في الحليب,neg
حتى الحاجة الوحيدة إلي جابتها الثورة بداو يلعبولها 😠😠,neg
Alkorouna walkleb yaser 3alina,neg
نقصت على خاطر شدينا الدار شهرين,pos
بصراحة اول مرة تعجبني هدوء غير معهود ورصانة جميلة ونقد بناء بعيدا عن الهرطقة السياسية برافو حسن واصل,pos
نسمة بلدي,pos
😍💘عجبتني هديك لي لابسة مخطط أبيض وأسود 💬100 ناقة لمن يأتني بفيس بوكها 💓.  مصيبة خرجت متزوجة كنت ناوي نجيبها للجزائر,neg
باهي برشة و وقتاش باش نشوفو بطاقة ايداع لعون امن خاتر سب مواطن 🙄🙄🤔🤔,neg
بجاه الرب اتلهى في ما أهم,neg
Ti9a lezma,pos
أنا مرة مشيت للكنام باش ناخذ prise en charge عون النافذة بدات تهز و تصبط معايا و لغة إدارة تونسية و ارجع بعد جمعتين مع العلم أني قدمت طلب قبل بأسبوعين طلعت للمدير نلقى prise en charge حاضرة تستنى فيا عندها 3 أيام.,neg
Fthiiiii7a,neg
تلم تنتون على تنتن واحد نتن والاخر انتن,neg
Ya m3alem etlhi bi bladek,neg
Enfin bech tmout w tji taht larth w tethaseb madeyem walou ken wijeh rabi ...,neg
مجرد جرذ انتهازي وصولي مثله مثل غيره من السياسين غره بريق السلطة والكرسي والمنصب ..حسيلو سفيان طوبال 2,neg
الذبانة ماتقتلش اما تدرع الخواطر.. طو يخرج والموقف هذا بش يزيدو كان عزيمة بش يواصل.. الدورية هاذي ماحسبوهاش صحيحة #فروخ تفركح,pos
Manajmtouch lkleb ladameya dorto 3al heycha lbakma,neg
صفقات في بيت النوم,neg
Ena weldi khabchou kalb fi juillet ltaw traumatisé et il fait des cauchemars,neg
ينعبو الوقت واكهو,neg
انتحار جماعي,neg
Denya thawaf walah,neg
اخبار تافهة لا فايدة منها,neg
يجب تطبيق القانون و الردع,pos
بففففف واحد وين باش يتثقف 😢,neg
اقعدو تحالفو ضد تونس,neg
Mch mochkel taw na3mlouh wa7adna,pos
عز الناس راجل طيب باتم معنى الكلمة ربي يعينو,pos
Merci bahri.,pos
محلاك موزاييك,pos
سيف الكذاب طارد الاستعمار محرر عقود البترول  صحة ليك بالدغف الي انتخبوك,neg
لا حول ولا قوة الا بالله منك يا حسام 😌,neg
الله لا تباركلكم شطر العباد ماهيش بش ترجع أولادها تقرا براو امسحو بيه😡😡😡,neg
توا نجم نموت بسلام قسوات 😏😏😏,neg
يعطيه الف صحة برافو شي افرح كتشوف رجال تونس في قمة الإنسانية والشجاعة,pos
Mahlak,pos
ya bnin ya 7nin,pos
الشلاكة على الشلاكة تطيح.,neg
il na aucun principe,neg
مشالهم المال وقعدلهم لهبال,neg
نفخلي كرارزي ب عااااالمية 😂,neg
بكرى بيخلص هالكابوس,pos
عزوزة الستوت,neg
اك جماعة التراث يعطيكم ت..... تظربوا في الشهاري بلا فايدة كان تعطوني  تراكس وقروب باهي تو نخرجلكم مدن كاملة احنى بطالة بطالة .شطر الموجود في المتاحف شدينهم الحاكم,neg
اقتلونا و ارتاحو,neg
اكثر ألله من امثاله وربي يشدلو في صحتو,pos
tunis y7kom fiha el mkbout ou 5ouh,neg
فساد مع فساد يساويان فساد للنخاع,neg
معندها علاش تسكر لبلاد,pos
Mala k3ba hahhhhh,neg
Win leflous ken 3ati rabi ray hasnou el sbitarat,neg
كان تابت واعتزلت و وجهت وجها لربي كان خير,pos
جبت الصيد من ... خويا :),neg
محلاه وربي طول في عمرو حتى تكون متغشش في ميترو ضحكاك ربي يسترو و ايفضلو,pos
أي وهو شيهمو في العباد المهم شهريتو تمشي,neg
ان شاء الله يتحاسب وميتحطش الدوسي في الرفوف ...,neg
ملاّ خبر يا معلّم ... صرفتوا صرفتوا ، بالله شوفولنا شكون أكثر واحد يبيع مروّب في تونس ، بلاد شيري فيري,neg
عنصرية .... تقول العرب موش دينا الاسلام ربي يسترنا,neg
Chrik 7yet !? Hhh fel janna inchallah 😅,pos
حتى هي امك نعيمة اللطف وبرا...ارتاح منها,neg
تستاهل ،، على خاطر برشة بنات همل كي يخرجو للشارع يراو في رواحهم فوق الجميع و تبدى تدرجع في ترمتها و تدزك و ماتقلكش سامحني,neg
غير تستر روحها قبل,neg
طيشوك حزب النهضه عرفوا حكايتك فارغ و طلعت عظمة بلا فص ، توا جاي تخب تتحالف مع حزب المقرونه ، انت و القروي حثالة المجتمع التونسي,neg
مدام الشعب يحب عيشة الذل هكا لزمنا,neg
mahouche rajel rkhisse,neg
غرايب و عجايب في هذا الزمن كانوا كل واحد ينعت الآخر بشتى النعوت، توا أصبحوا صف واحد، كلهم خانوا منتخبيهم. قلابة الفيسته,neg
Hak matkalemtech a3la létuyid kol 3am elmo3almiya lased4a emousou fi Zawali ala latraba7om 7asbi Allah fahom,neg
Bravo 👌👌👌,pos
يرحم والديه والله راجل صاحب مسٶولية,pos
Mafamech live nermine sfar y'a nesss hhhhh,pos
شعب مطيش في ااحبوسات وشطر لاخر هزو البحر وهو يحكيلي عالديبلوماسيات وقضايا متهمنيش,neg
عيب والله اشد من العيب  هذا السكوت سيؤول لنا الى مشاكل أكثر خطورة بل الى إثارة العروشية من جديد واللجوء ساعةعدم الثيقة في الدولة وتعود الى مربع الاخذ بالثار وهنا تكمن الخطورة ساعة غياب القانون  من العيب غلق الطرقات سبنجر عنه كوارث تتحملها الدولة  لماذا لايطبق القانون هل أصبحنا نعيش وسط فضاء متوحشة أم ماذا شيء لايطاق,neg
معناها جماعة الوظيفة العمومية اللي ما تعملو في شي و تحبو حجر شامل و شهاريكم تمشي مضمضو بالسواك الحار و حكو الفلفل في ترمكم يزيكم ما تمعشتو ✌💪,neg
تبا لكم جميعا,neg
Hhhh moch newya rbdel rayha 🤔🤔🤔,neg
علامة من علامات التخلف و الجهل. شعب في الميزيريا و الفقر و ساحر و مسحور. و لكلو من جرة البعد على الدين؛ ناس مسلمين بالكذب؛ ما يخافوش ربي,neg
Ya3tek 3asba ya nahdi fai schifo ta77an Abir,neg
Klemha shih bech nawlou 4 mleyin ki doubay,pos
شبي **** رانا كان متنا تموتوا معانا في بالكم تتخلدو شنهي هالهم,neg
لا نستغرب شي من الشيعة   لاكن على الاقل هذه خادمة.  أما في تونس الخضراء المرأة يسمسروا بيها السماسرة بعشرة وبعشرين دينار للأجانب القادمين للسياحة  عفواا  للزنا  قاللوا سياحة  تفووووووو,neg
تحيا المساوات. كيف الوزير كيف العسّاس. الدولة العادلة. هههههه,pos
عندنا مدينه  رومانيه كامله تحت الارض  ومعهد التراث موش ناوي يعمل حفريات  اسمها زراطة صرصوره ولاية المهديه,neg
Hkeyet fergha,neg
با كذابة يا منافقين الى مزبلة التاريخ,neg
هوما كرز وأحنا أش مدخلنا,neg
نجاحك على شنووا يا هذا باش نافع بلادك واشنوا الي ناجح فيه يا بصاص مستواك ضاهر من كلامك يا حثالة المجتمع,neg
كذب ونفاق لا دين لا ملة,neg
احنا الاساتذة خايفين على ارواحناوصغارنا !!!!!!!,neg
الحمد لله ما براكاكم حد,pos
Ken el mssatta brabii khalliwna fil corona lehiinn tefehhaa,neg
صالون الإبتشيكار,neg
يعطيه الصحة هاو ظمير المهني والا لوح,pos
احتراماتي استاذي العزيز تلميذتك بترشيح المرسى,pos
اللهم ان كان سحرا فابطله,pos
تحالف بين النتن والأنتن,neg
انشاالله بدو بتمام,pos
Le flous wfet khaw,neg
الزوز. خروات,neg
والمحامي الي طلقهم من بعضهم اصبح اغنى محامي فالعالم و  انا الي نتبع في موزاييك اصبحت اغبى انسان فالعام 🤦‍♂️,neg
تفوووووووووووووووه ما اوطاه و اوطا البهايم الي مازالوا يدافعوا عليه,neg
"Melle ra7a min wijhou , filli5r ghilbit 3abir 🤣🤣🤣🤣",neg
العناصر الثلاثة إلي ساهمت في خرب البلاد,neg
لعبتلو تحسها حطتلو تصويرتو في جبانة الكرم,neg
ههههه    الأقربون أولى  بالمعروف.,pos
Taw Ghodwa sbeh yasbhou yo9tlou fehom 9al chnowa khayfyn al aabed le tetdhar,neg
لطف يا ربي,neg
الرهوط هاذم شكون اذن لهم باش يناقشوا وما عاجبهم شيئ,neg
Mchlh 3lik Rabi ye7mih,pos
ye5y tetmanyek 3ala rou7ek,neg
تحكي بجدك علي ؟ مشينا حنة ..........,neg
Wahf yo5btek,neg
نتمنى تعمل الي عمله اردوغان في بلاده لا نفط و لا شيء و تركيا ردها قوة,pos
كان لكلام,neg
الحمد الله يا ربي,pos
ههههههههههههه محلاهم التوانسة متصالحين,pos
Machallah 3lih,pos
Bhaaaayem wrabi maya3erfouchi,neg
إءتلاف المبلية تنتون وتنتن،واحد نتن ولاخر أنتن.,neg
كان يقتلوهم تو ينصبولك بلاطوات وعياط وزياط وحقوق الحيوان واش يفضها حقوق الحيوان في دوله مافيهاش حقوق الانسان,neg
محلاه والي يصور زاده ضامر ❤🥰,pos
Y7ebou ymardhou l3beb,neg
يا شابي  من سكن الكره قلبه لمن سواه  واشتدت  رغبته  في استئصال من واجهه   لن يبلغ  أكثر  مما هو عليه الآن  وبعد  ..واذكر  مسيرتك  السياسية  وأين  انت,neg
Bi3ouha w rat7ouna bellahi,neg
هناك الكثير من التوانسة كانوا غير مقتنعيين بتوجهات حزب قلب تونس لكنهم متعاطفون معه ليجدوه بالنهاية يتحالف مع الارهابيين اعداء الحياة,neg
Hmadoulla ya rabi,pos
Yekfina fa5er tenissa asl elism  amazigi w zid friga kif  kif,pos
يزيونا مالتعتيم الإعلامي لتحركات الرئيس حطولنا الحاجات الأوامر إلي عطاهم و التحركات متع الوزراء  #نحن_معك_سيدي_الرئيس,neg
C'est  décevant 🤮🤮🤮🤮🤮🤮,neg
حط البهيم حذا البهيم كان ماعلموش الشهيق يعلمو النهيق,neg
بالله كان تلهيت في الشعب إلي قاعد يموت كل يوم ولقيتلو حل خير,neg
N'importe quoi -_-,neg
قمة الحقارة والنذالة,neg
Ki sidi kijwedou,neg
والله راجل,pos
Brabbi ya mosaique iktbou 7aja s7i7a.  Martou hia awal 3amla fi l Amazon wa wa9fit el charika 3la sa9iha m3ah. Ya3ni chrika 50/50 kan mouch akthar,neg
jmé3ét to9tlouch lékléb  wa9t li yéhjém 3ala fard mén 3ayéléték fél chéra3 ija hounni défé3 3léhom,neg
ربي يسترها اللعب حراش😢😢,pos
Yazi bla kdheb moch 7rem 3likom t7ardho 3 7aywanet chkonek 9alek ili 9atlhom hlel haycha bakma kima enti 3andek Lhe9 t3ich kima houma 😡😡😡,neg
الغريب  انهم دخلوا للانتخابات على اساس كانوا رافضين  تحالف النهضة والمنظومة القديمة وانهم بديل للنهضة ياخي حتى هوما تحالفوا مع قلب تونس بنفس الحجج متع النهضة,neg
ربي اوفقك انت مثل لكل شخص حامل لي إعاقة من جدا وجد,pos
خلصو رواحكم يثيبكم الله,pos
العاقبة للمجلس النواب خلي نرتاحو شوي من وجوهم,neg
تخريب الدوله مستمر. لحساب من؟,neg
Rabi 3enek be7lelou khir meybe3a zatela wchrab wja3el le 7akem bravo,pos
يعطيك عصبه ليك و ليه ...,neg
Ye mosaïque yirrak hzina gzina,neg
والله تستاهل الضرب مش السب طلعت اكبر سراق انتم اكبر فساد انتم وشكون العارك كان الزوالي ما عندوش معارف بش يعاونوه على حل المشاكل معاكم,neg
كلوشارة,neg
حسبي الله ونعم الوكيل  مسخرة!!!!قمة الإهانة والذل والغطرسة 😱😱,neg
❤❤👌,pos
Yé latif toltef yé rabi Allah,pos
الخليجيين كملوا شراو كل شي دوروها يتاجروا في لعباد,neg
ذري و بناويت متاع 20 دينار,neg
Manel hhhhh 9talni,pos
Hata dawla tst8al fi 8asra. Kifech tji mouda3m we dawala tzid fih. Apparemment t7echi fih,neg
سليم التيساوي بنفسجي؟ الله يهديكم راجعوا سيرته الذاتية... واعادة الاعتبار له احسن شيء عمله المشيشي,pos
زيدو مازال يتنفس,neg
الإرهابي والسارق ربي يستر,neg
Kidib fi kidib,neg
في بالك عينيك محلاهم هههههه,pos
اصل انت شكون يسمع بيك كان لفرارات لي كيفك,neg
أحسن خبر تنجم تهبطو موزاييك,pos
70 3ems we tounes t3eni ech jibet jdid inti,neg
Bravoo DTV ❤️❤️,pos
عامين كي كنت نخدم فيmonplaisir ناخو ميترو ال2 البسمة لا تفارقه مشاء الله...عز الناس ..ربي اشدو بصحة بدنو..ويعطيه ديما على قد قلبو...👏🤝,pos
Ey w mn ba3d,neg
تفلمي دبي مدينة عالمية يحبلنا نصف قرن باش نلحقوا,neg
الله لا تخلسلكم وحلة,neg
متحبوش راجل يا جبوراا,neg
De5lin fi 2020 wena ws7bi ltawa nism3ou feha,pos
قتلو: تحبني بالرغم ماريتنيش؟ قلها: احنا نحبو الجنة وعمرنا ماشفناها  إبليس عينيه دمعت😂🙆‍♂️,neg
Bled miki,neg
زيد راجل راجل يرحم ولديه,pos
محلاها العناية والكليب روعة نور محلاك عسل عسل,pos
ربي يرحم بورقيبة باني الدولة الحديثة.,pos
تحالف الوبنة,neg
لغني ربي,pos
ربي يلطف بينا,pos
كفاكم من تزوير التاريخ ؟؟؟,neg
لا أحد يملك الحق في إنتقاد السياسات الإماراتية و البحرينية، و بالنسبة لتونس يكفيكم تطبيعكم مع المنظمات الإرهابية و قتلكم أبرياء في سوريا و ليبيا.,neg
شو كالهدرة,neg
Ntaa thaane,neg
غراب أعور و طاح بفولة مسوسة 😒,neg
ويني فلوس السياحة إلي حليتو على خاطرها الحدود؟؟ وين وصلت نسبة النمو الاقتصادي بعد ما حليتو الحدود؟؟؟ أشكون إستفاد من حلان الحدود؟,neg
5mis 3lik ya linda,pos
قمة الطغيان والكفر متى استعبدتم الناس وقد ولدتهم أمهاتهم احرارا,neg
Un chauffeur exemplaire. qui aime son travail. Mai ou sont t'il . Le service du nettoyage. Toujours la meme merde  De ces responsable,pos
Wellahi bel 3mal wetrak essolta tghor ama khir melwebna elli cheddin lebled towwa,neg
ويلهم من الله,neg
الارهاب و الكباب,neg
ههههههههههه يواتيو بعضهم,pos
راجعين راجعين وما ناش مسلمين والموافق  يعلق  بنفس الجملة,pos
اول مرة تعمل حاجة باهية,pos
تلمت العرجاء والجرباء والعوراء وإلي سنونة طايحة ....خلي عزاها سكات هذا الشيبة الشابي مكبش بيديه في الرآسة إمشي شد رئيس على زوجتك وتعطيهم وأرقد,neg
الله يقطع دابر أزلام التجمع الفاشي الديكتاتوري,neg
عسسسل هالراجل,pos
بري نيكي الحق هو ربي سبحانو,neg
عاملين فيها طز حكمة moi je,neg
Analyses ridicules,neg
ربي كثر منو في الروح الوطنية مثال للتونسين,pos
تضحكو تو,neg
آآآآه يا ربي لك الحمد والشكر على كل حال يا ربي تسترنا و تستر وليداتنا,pos
Action tachkila kemla takadem hhhhh ye 7assra,pos
جهله,neg
شنوة حلال عليكم حرام علينا..انتم  حطيتو اليد في اليد مع عبير موسي ..وأحنا باش نقهروكم ونمسحوكم .,neg
حتي بيت اللله يتاجر فيها اللله لا تباركلكم,neg
"Bravo, très bonne décision w en plus jet fi wa9tha 👌bel7a9 yaatikom essa7a !",pos
بركات الشيخ جلغة هههه,neg
بصعوبة 😏 آ موزاييك يعطك نم 🙄,neg
ما تحبش تستبنى شعب يتيم هههه,pos
Khiiiiit o9sombllh chy y3ayef saybouna m tafahet!,neg
يجب تاجيل العودة المدرسية الى حين الحد من تفشي الوباء,pos
عاملين التعليم مجاني و انتم تحشو فيه ، المنح الجامعية لابناء رجال التعليم الزوالي ماعندوش الحق و أنتم كيفكيف تحشو فيه ، الترسيم في الجامعة برشة فلوس الزوالي ميقدرش يدفع كيفكيف و أنتم تحشو فيه ، الي يعاود العام مرتين في نفس العام يخرج من القراية تقول أنتم تقرو فيه و تدفعوا عليه من جيوبكم ياكلاب كيفكيف و أنتم تحشو فيه .... التعليم المدرسي و الثانوي و الجامعي خاصة لأبناء الكرز و رجال الأعمال فقط لباقي مايهمش و أنتم تحشو فيه على الشعب,neg
تفدد اووووووف,neg
Lfased m3a lfesd,neg
Flous naf9a 🤣,pos
بلاسطك في الحمام,neg
عربية مزيانة حسن واصل,pos
Kalba Mart semi,neg
إنا أمازيغي مسلم و أفتخر,pos
واحنا  لنا  تلقاها  كالثعلب  مطلقة  راجلها  وحاطتو  في  الحبس  لا  ربح  هو  لا  ربحت  هي  لا  ربحو  الصغار,neg
ان كيدهم لعظيم 😂,pos
Chapeau bas monsieur 🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳,pos
سب وشتم 😁😁,neg
نريد انتدابات وتشغيل وحقوق تعيد للتونسي اعتباره وكل انسانيته,pos
العقلية لازم تتغير شوي،، الكمامة ضروري ،،و شوي نظافة اليدين َ الملابس بعد كل خرجة،،،،،، ضروري جدا،،،،، ماهوش جدري َ والا سل راهو،،، بالماء و الصابون يتنحا كل شي، الغريب العباد تغزد و تنوخ و هو لا يحترم حتا ابسط الاشياء،،، و بجاه ربي النبارة نقصو شوي يرحم و الديكم،،,pos
العميل وارهابي والسارق مع بعضهم,neg
موش مشكل المهم الكمامة,pos
ديجا ما فماش ثقافة,neg
الراه.  في. راسه.  الملحم,neg
Laanet Allah  alik   znouss mayla,neg
انتوما تهبلو العباد ببيروقراطيتكم المقيمطة، تبقى تستنى ساعتين ومن بعد يقلك برا أطلع للطابق الثاني.... لا يعلمون عباد ولا يحسبونا خلق كيفاش تحبو تجيبو الاحترام لرواحكم. مؤسسة فاشلة على جميع الأصعدة,neg
ماك قواد ورخيص,neg
Un PD.......! Allah yarhim ben Ali ya tahan,neg
عادي في تونس ب 10 آلاف فرنك تربح عاهرة تونسية,neg
مساكن الوالدين كرارس كتب ستلوات كلهم غاليين.. و  و شهريتهم متكفيش ماكلة و شراب... زيادة في كل شئ.. كان في الشهرية ميزيدهمش... بلاد السراق...,neg
Rabiiiiiii yahmiihh w y3inoo,pos
يكذبو نتع بص,neg
Hhhhhhhhh,pos
7wija mezyena barcha ya3tik esa7a,pos
ما شاء الله عليك أيتها البنت ربي يحفضك ويوفقك ويعطيك ما تتمناه,pos
Hhhhh ya allah,pos
شيبوب كراف رجع عشرة ألاف ههههههههههه,neg
حاجة روعة مسلسل بأتم معنى الكلمة برافووووو نستنوا منك مسلسل اخر,pos
Bravo au Monsieur. Qui a partager ce video. Il faut les combattre. Les responsable de  RIEN,pos
داهش من التعليقات. خلي الراجل يخدم,pos
Tabek ekanoun fawtha tounes radouha kouri allah la etrabahom,pos
كان جات فالح راكم من بارح لكن فاتكم القطار,neg
3aretlou rwaysou mskin 😂😂😂,neg
بربي اش عندكم تعملو تحالفو ولا زمرو لمرخوف و مقرونة,neg
مالا خبر برجوليه بدلي حياتي,neg
مدينة الوبنة موش الثقافة كان يربو فيها الدجاج خير,neg
مع الاسف الشديد الفيسبوك فضح الناس ،القيل والقال واهانات وتقليل من شان العباد وهتك اعراظ والله مرمدتوا تونس والتوانسة أمام كل العالم ،الدول المتقدمة تبتكر ويحسب لهم ،وأنتم مستهلك للفتك ببعضكم.,neg
موزاييك اول ما يهبط خبر على الافريقي تعمل طبال وزكار الله لا تربحكم نهار الكل تبربشو علينا,neg
"قول ""زااء"" داااء يعطيك داء انشاء الله",neg
action ta9adom bikol souhoula ..,pos
هذا حسام كان جاري ناس طيبة ربي يوفقو,pos
Taba3 ordogan car la Tunisie souffre,pos
Un grand bravo med bon courage un tres bon exemple 👍👍👍👍,pos
يزو بركا مالفتاوي عادي التلامذة رجعو يقرو في اوروبا والي يحكو دولة و ما دولة الوقاية يوفرها الولي لولدو و يعلمو ما يمس شي و يغسل يدو لا اكثر و لا اقل,neg
Rabi y9awlih wjnchala dima fi sadara,pos
موش تنظفو بالحرام لا رجعوها,neg
Bravo باريت الناس الكل عندها نفس الضمير,pos
يجب أن تكون ولكن,neg
"rabi ihanik,7louwa barcha",pos
Klamou shih ama barcha bhaym yhibou yslhou sbitarat wlkayasait bjouhal linta5bouhom,neg
جملة وحدة!! استغفر الله..,pos
"Ya walla ghalba, hssibhom rabbi",neg
